VERACRUZ,AEROMEXICO,AM 856,15:05,A TIEMPO,S/D
P.VALLARTA,VIVA,VB 1168,15:10,A TIEMPO,G
GUADALAJARA,AEROMEXICO,AM 236,15:10,A TIEMPO,S/D
REYNOSA,AEROMEXICO,AM 2498,15:10,A TIEMPO,S/D
VILLAHERMO,AEROMEXICO,AM 808,15:10,A TIEMPO,S/D
MONTERREY,AEROMEXICO,AM 938,15:10,A TIEMPO,S/D
MADRID,IBERIA,IB 6406,15:15,A TIEMPO,G
HUATULCO,AEROMEXICO,AM 398,15:20,A TIEMPO,S/D
HUATULCO,VOLARIS,Y4 838,15:20,A TIEMPO,B
AGUASCALIE,AEROMEXICO,AM 1636,15:25,A TIEMPO,S/D
CULIACAN,AEROMEXICO,AM 164,15:25,A TIEMPO,S/D
LIMA,AEROMEXICO,LP 2487,15:25,A TIEMPO,S/D
PANAMA,COPA AIRLINES,CM 135,15:30,A TIEMPO,S/D
SJ. D CABO,AEROMEXICO,AM 384,15:30,A TIEMPO,S/D
PHOENIX,AMERICAN AIRLINES,AA 502,15:30,A TIEMPO,J
MIAMI,AMERICAN AIRLINES,AA 505,15:30,A TIEMPO,J
ATLANTA G,DELTA,DL 599,15:30,A TIEMPO,S/D
L.ANGELES,DELTA,DL 630,15:35,A TIEMPO,S/D
HOUSTON IA,VOLARIS,Y4 874,15:35,A TIEMPO,J
COLIMA,AEROMEXICO,AM 2436,15:40,A TIEMPO,S/D
CD.VICTORIA,AEROMEXICO,AM 2478,15:40,A TIEMPO,S/D
COMAYAGUA,AEROMEXICO,AM 2696,15:50,A TIEMPO,S/D
CANCUN,VOLARIS,Y4 716,15:55,A TIEMPO,G
CANCUN,VOLARIS,Y4 718,15:55,A TIEMPO,G
CD. JUAREZ,AEROMEXICO,AM 117,16:00,A TIEMPO,S/D
GUADALAJARA,VIVA,VB 1398,16:00,A TIEMPO,B
GUADALAJARA,AEROMEXICO,AM 240,16:00,A TIEMPO,S/D
